<frozen site>:101: RuntimeWarning: Unexpected value in sys.prefix, expected /home/liam/Downloads/crouzeix/.venv, got /home/liam/Downloads/crouzeix/experiments/../.venv
<frozen site>:101: RuntimeWarning: Unexpected value in sys.exec_prefix, expected /home/liam/Downloads/crouzeix/.venv, got /home/liam/Downloads/crouzeix/experiments/../.venv
[1/40] K=1.9323 rho=+0.039912 kappa=1.71 tau=0.947 alpha=0.789 g0=-0.0602 ge=+0.0679
[2/40] K=1.8599 rho=+0.008723 kappa=2.28 tau=0.852 alpha=0.656 g0=-0.0179 ge=+0.0226
[3/40] K=1.9397 rho=+0.020265 kappa=1.97 tau=0.909 alpha=0.727 g0=-0.0347 ge=+0.0420
[4/40] K=1.9781 rho=+0.000594 kappa=4.54 tau=0.648 alpha=0.469 g0=-0.0017 ge=+0.0037
[5/40] K=1.7716 rho=+0.000044 kappa=7.73 tau=0.477 alpha=0.339 g0=+0.0001 ge=+0.0008
[6/40] K=1.7393 rho=+0.000061 kappa=108.25 tau=0.125 alpha=0.000 g0=+0.0720 ge=+0.0078
[7/40] K=1.9785 rho=+0.000000 kappa=29.33 tau=0.260 alpha=0.184 g0=+0.0001 ge=+0.0001
[8/40] K=1.9609 rho=+0.001272 kappa=3.75 tau=0.706 alpha=0.516 g0=-0.0038 ge=+0.0058
[9/40] K=1.8238 rho=+0.000323 kappa=40.57 tau=0.189 alpha=1.000 g0=+2.9724 ge=+2.9724
[10/40] K=1.9238 rho=+0.000022 kappa=9.94 tau=0.439 alpha=0.312 g0=+0.0001 ge=+0.0006
[11/40] K=1.9157 rho=+0.058001 kappa=1.59 tau=0.964 alpha=0.824 g0=-0.0800 ge=+0.0906
[12/40] K=1.6079 rho=+0.063444 kappa=1.37 tau=0.968 alpha=0.833 g0=-0.0875 ge=+0.0952
[13/40] K=1.7712 rho=+0.036518 kappa=1.62 tau=0.943 alpha=0.781 g0=-0.0552 ge=+0.0646
[14/40] K=1.9274 rho=+0.000093 kappa=6.99 tau=0.521 alpha=0.372 g0=+0.0003 ge=+0.0016
